TimePeriod,Inst g,Avg g,Lengths
13.883,0.04301,0.00069,21.0
63.598,0.00195,0.00195,20.0
1.405,3.99979,0.34204,20.0
1.244,5.1021,0.21107,20.0
1.319,4.53837,0.13346,20.0
1.348,4.3452,0.0946,20.0
20.77,0.0183,0.00235,20.0
17.957,0.03489,0.00229,28.5
7.4,0.20547,0.00418,28.5
13.677,0.06015,0.00157,28.5
70.089,0.00129,0.00129,16.0
74.614,0.00124,0.00124,17.5
1.969,1.78199,0.18839,17.5
1.638,2.57496,0.13284,17.5
25.427,0.00794,0.00794,13.0
126.739,0.00044,0.36012,18.0
1.721,2.39922,0.20233,18.0
1.697,2.46756,0.11123,18.0
68.388,0.0011,0.00528,13.0
1.36,2.77476,0.07773,13.0
1.706,1.76338,0.03836,13.0
1.718,1.73883,0.03106,13.0
1.701,1.77376,0.0273,13.0
1.7,1.77585,0.024,13.0
1.7,1.77585,0.0214,13.0
1.694,1.78845,0.01944,13.0
19.892,0.01297,0.00031,13.0
16.821,0.02023,0.02023,14.5
1.924,1.54638,0.16633,14.5
1.51,2.51058,0.12587,14.5
1.505,2.52729,0.08432,14.5
1.507,2.52058,0.06305,14.5
10.953,0.04772,0.00139,14.5
16.054,0.01532,0.001,10.0
22.756,0.01296,0.00023,17.0
93.385,0.00066,0.00043,14.5
1.109,4.65441,0.06249,14.5
1.569,2.32532,0.02769,14.5
1.57,2.32235,0.02458,14.5
17.199,0.06207,0.06207,15.5
1.812,5.59165,0.5442,15.5
1.81,5.60401,0.27559,15.5
32.935,0.02402,0.01452,22.0
1.894,7.26419,0.18939,22.0
1.332,14.68719,0.2926,22.0
1.502,11.55067,0.19018,22.0
1.515,11.35329,0.15838,22.0
1.899,7.22599,0.08765,22.0
1.546,10.90255,0.11652,22.0
10.782,0.03396,0.03396,10.0
26.585,0.0095,0.01786,17.0
1.604,2.60855,0.13015,17.0
36.077,0.00516,0.00722,17.0
51.157,0.00234,0.00234,15.5
48.763,0.0127,0.0127,25.5
1.617,11.55167,1.50829,25.5
30.172,0.03318,0.0741,25.5
1.321,17.30848,0.65557,25.5
1.292,18.09421,0.49669,25.5
19.54,0.07911,0.00854,25.5
2.044,7.22941,0.15721,25.5
2.021,7.3949,0.13684,25.5
2.066,7.07626,0.11604,25.5
27.12,0.00912,0.00912,17.0
1.714,2.28448,0.2435,17.0
1.713,2.28715,0.1181,17.0
15.951,0.02638,0.00322,17.0
7.181,0.13015,0.00576,17.0
17.3,0.0273,0.00198,20.7
15.578,0.03823,0.03823,23.5
1.992,2.33802,0.22859,23.5
1.968,2.3954,0.13522,23.5
21.308,0.0087,0.00757,10.0
1.382,2.06702,0.07134,10.0
1.382,2.06702,0.0517,10.0
16.352,0.02658,0.02658,18.0
1.306,4.16626,0.34793,18.0
1.306,4.16626,0.18092,18.0
12.55,0.02507,0.02507,10.0
12.702,0.04282,0.02492,17.5
